# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.0.0 Build 614 04/24/2018 SJ Lite Edition
# File: D:\OneDrive - International Campus, Zhejiang University\ece385\lab6\newnewnew\version111lab6\xshlyc lab6\xshlyc\Updated_ECE385_lab6_provided_Spring_2018\lab6_i.csv
# Generated on: Tue Nov 03 19:09:34 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
ADDR[2],Unknown,PIN_AE7,3,B3_N1,,,,,,
ADDR[1],Unknown,PIN_AD7,3,B3_N2,,,,,,
ADDR[0],Unknown,PIN_AB7,3,B3_N1,,,,,,
CE,Unknown,PIN_AF8,3,B3_N1,,,,,,
Clk,Unknown,PIN_Y2,2,B2_N0,,,,,,
Continue,Unknown,PIN_N21,6,B6_N2,,,,,,
Data[15],Unknown,PIN_AG3,3,B3_N2,,,,,,
Data[14],Unknown,PIN_AF3,3,B3_N2,,,,,,
Data[13],Unknown,PIN_AE4,3,B3_N2,,,,,,
Data[12],Unknown,PIN_AE3,2,B2_N2,,,,,,
Data[11],Unknown,PIN_AE1,2,B2_N1,,,,,,
Data[10],Unknown,PIN_AE2,2,B2_N1,,,,,,
Data[9],Unknown,PIN_AD2,2,B2_N1,,,,,,
Data[8],Unknown,PIN_AD1,2,B2_N1,,,,,,
Data[7],Unknown,PIN_AF7,3,B3_N1,,,,,,
Data[6],Unknown,PIN_AH6,3,B3_N2,,,,,,
Data[5],Unknown,PIN_AG6,3,B3_N2,,,,,,
Data[4],Unknown,PIN_AF6,3,B3_N2,,,,,,
Data[3],Unknown,PIN_AH4,3,B3_N2,,,,,,
Data[2],Unknown,PIN_AG4,3,B3_N2,,,,,,
Data[1],Unknown,PIN_AF4,3,B3_N2,,,,,,
Data[0],Unknown,PIN_AH3,3,B3_N2,,,,,,
HEX0[6],Unknown,PIN_H22,6,B6_N0,,,,,,
HEX0[5],Unknown,PIN_J22,6,B6_N0,,,,,,
HEX0[4],Unknown,PIN_L25,6,B6_N1,,,,,,
HEX0[3],Unknown,PIN_L26,6,B6_N1,,,,,,
HEX0[2],Unknown,PIN_E17,7,B7_N2,,,,,,
HEX0[1],Unknown,PIN_F22,7,B7_N0,,,,,,
HEX0[0],Unknown,PIN_G18,7,B7_N2,,,,,,
HEX1[6],Unknown,PIN_U24,5,B5_N0,,,,,,
HEX1[5],Unknown,PIN_U23,5,B5_N1,,,,,,
HEX1[4],Unknown,PIN_W25,5,B5_N1,,,,,,
HEX1[3],Unknown,PIN_W22,5,B5_N0,,,,,,
HEX1[2],Unknown,PIN_W21,5,B5_N1,,,,,,
HEX1[1],Unknown,PIN_Y22,5,B5_N0,,,,,,
HEX1[0],Unknown,PIN_M24,6,B6_N2,,,,,,
HEX2[6],Unknown,PIN_W28,5,B5_N1,,,,,,
HEX2[5],Unknown,PIN_W27,5,B5_N1,,,,,,
HEX2[4],Unknown,PIN_Y26,5,B5_N1,,,,,,
HEX2[3],Unknown,PIN_W26,5,B5_N1,,,,,,
HEX2[2],Unknown,PIN_Y25,5,B5_N1,,,,,,
HEX2[1],Unknown,PIN_AA26,5,B5_N1,,,,,,
HEX2[0],Unknown,PIN_AA25,5,B5_N1,,,,,,
HEX3[6],Unknown,PIN_Y19,4,B4_N0,,,,,,
HEX3[5],Unknown,PIN_AF23,4,B4_N0,,,,,,
HEX3[4],Unknown,PIN_AD24,4,B4_N0,,,,,,
HEX3[3],Unknown,PIN_AA21,4,B4_N0,,,,,,
HEX3[2],Unknown,PIN_AB20,4,B4_N0,,,,,,
HEX3[1],Unknown,PIN_U21,5,B5_N0,,,,,,
HEX3[0],Unknown,PIN_V21,5,B5_N1,,,,,,
HEX4[6],Unknown,PIN_AE18,4,B4_N2,,,,,,
HEX4[5],Unknown,PIN_AF19,4,B4_N1,,,,,,
HEX4[4],Unknown,PIN_AE19,4,B4_N1,,,,,,
HEX4[3],Unknown,PIN_AH21,4,B4_N2,,,,,,
HEX4[2],Unknown,PIN_AG21,4,B4_N2,,,,,,
HEX4[1],Unknown,PIN_AA19,4,B4_N0,,,,,,
HEX4[0],Unknown,PIN_AB19,4,B4_N0,,,,,,
HEX5[6],Unknown,PIN_AH18,4,B4_N2,,,,,,
HEX5[5],Unknown,PIN_AF18,4,B4_N1,,,,,,
HEX5[4],Unknown,PIN_AG19,4,B4_N2,,,,,,
HEX5[3],Unknown,PIN_AH19,4,B4_N2,,,,,,
HEX5[2],Unknown,PIN_AB18,4,B4_N0,,,,,,
HEX5[1],Unknown,PIN_AC18,4,B4_N1,,,,,,
HEX5[0],Unknown,PIN_AD18,4,B4_N1,,,,,,
HEX6[6],Unknown,PIN_AC17,4,B4_N2,,,,,,
HEX6[5],Unknown,PIN_AA15,4,B4_N2,,,,,,
HEX6[4],Unknown,PIN_AB15,4,B4_N2,,,,,,
HEX6[3],Unknown,PIN_AB17,4,B4_N1,,,,,,
HEX6[2],Unknown,PIN_AA16,4,B4_N2,,,,,,
HEX6[1],Unknown,PIN_AB16,4,B4_N2,,,,,,
HEX6[0],Unknown,PIN_AA17,4,B4_N1,,,,,,
HEX7[6],Unknown,PIN_AA14,3,B3_N0,,,,,,
HEX7[5],Unknown,PIN_AG18,4,B4_N2,,,,,,
HEX7[4],Unknown,PIN_AF17,4,B4_N2,,,,,,
HEX7[3],Unknown,PIN_AH17,4,B4_N2,,,,,,
HEX7[2],Unknown,PIN_AG17,4,B4_N2,,,,,,
HEX7[1],Unknown,PIN_AE17,4,B4_N2,,,,,,
HEX7[0],Unknown,PIN_AD17,4,B4_N2,,,,,,
LB,Unknown,PIN_AD4,3,B3_N2,,,,,,
OE,Unknown,PIN_AD5,3,B3_N2,,,,,,
Reset,Unknown,PIN_M23,6,B6_N2,,,,,,
Run,Unknown,PIN_R24,5,B5_N0,,,,,,
UB,Unknown,PIN_AC4,2,B2_N2,,,,,,
WE,Unknown,PIN_AE8,3,B3_N1,,,,,,
S[15],Unknown,PIN_AA22,5,B5_N2,,,,,,
S[14],Unknown,PIN_AA23,5,B5_N2,,,,,,
S[13],Unknown,PIN_AA24,5,B5_N2,,,,,,
S[12],Unknown,PIN_AB23,5,B5_N2,,,,,,
S[11],Unknown,PIN_AB24,5,B5_N2,,,,,,
S[10],Unknown,PIN_AC24,5,B5_N2,,,,,,
S[9],Unknown,PIN_AB25,5,B5_N1,,,,,,
S[8],Unknown,PIN_AC25,5,B5_N2,,,,,,
S[7],Unknown,PIN_AB26,5,B5_N1,,,,,,
S[6],Unknown,PIN_AD26,5,B5_N2,,,,,,
S[5],Unknown,PIN_AC26,5,B5_N2,,,,,,
S[4],Unknown,PIN_AB27,5,B5_N1,,,,,,
S[3],Unknown,PIN_AD27,5,B5_N2,,,,,,
S[2],Unknown,PIN_AC27,5,B5_N2,,,,,,
S[1],Unknown,PIN_AC28,5,B5_N2,,,,,,
S[0],Unknown,PIN_AB28,5,B5_N1,,,,,,
LED[11],Unknown,PIN_H16,7,B7_N2,,,,,,
LED[10],Unknown,PIN_J15,7,B7_N2,,,,,,
LED[9],Unknown,PIN_G17,7,B7_N1,,,,,,
LED[8],Unknown,PIN_J17,7,B7_N2,,,,,,
LED[7],Unknown,PIN_H19,7,B7_N2,,,,,,
LED[6],Unknown,PIN_J19,7,B7_N2,,,,,,
LED[5],Unknown,PIN_E18,7,B7_N1,,,,,,
LED[4],Unknown,PIN_F18,7,B7_N1,,,,,,
LED[3],Unknown,PIN_F21,7,B7_N0,,,,,,
LED[2],Unknown,PIN_E19,7,B7_N0,,,,,,
LED[1],Unknown,PIN_F19,7,B7_N0,,,,,,
LED[0],Unknown,PIN_G19,7,B7_N2,,,,,,
