# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.0.0 Build 614 04/24/2018 SJ Lite Edition
# File: D:\OneDrive - International Campus, Zhejiang University\mycode\quartus\lab5\lab5.csv
# Generated on: Tue Oct 20 10:42:53 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
AhexU[4],Output,PIN_AD24,4,B4_N0,PIN_AD24,2.5 V,,,,,
AhexU[3],Output,PIN_AA21,4,B4_N0,PIN_AA21,2.5 V,,,,,
AhexU[2],Output,PIN_AB20,4,B4_N0,PIN_AB20,2.5 V,,,,,
AhexU[1],Output,PIN_U21,5,B5_N0,PIN_U21,2.5 V,,,,,
AhexU[0],Output,PIN_V21,5,B5_N1,PIN_V21,2.5 V,,,,,
BVal[7],Output,,,,PIN_R28,,,,,,
BVal[6],Output,,,,PIN_R23,,,,,,
BVal[5],Output,,,,PIN_R22,,,,,,
BVal[4],Output,,,,PIN_R27,,,,,,
BVal[3],Output,,,,PIN_F24,,,,,,
BVal[2],Output,,,,PIN_F25,,,,,,
BVal[1],Output,,,,PIN_G26,,,,,,
BVal[0],Output,,,,PIN_G24,,,,,,
BhexL[6],Output,PIN_H22,6,B6_N0,PIN_H22,2.5 V,,,,,
BhexL[5],Output,PIN_J22,6,B6_N0,PIN_J22,2.5 V,,,,,
BhexL[4],Output,PIN_L25,6,B6_N1,PIN_L25,2.5 V,,,,,
BhexL[3],Output,PIN_L26,6,B6_N1,PIN_L26,2.5 V,,,,,
BhexL[2],Output,PIN_E17,7,B7_N2,PIN_E17,2.5 V,,,,,
BhexL[1],Output,PIN_F22,7,B7_N0,PIN_F22,2.5 V,,,,,
BhexL[0],Output,PIN_G18,7,B7_N2,PIN_G18,2.5 V,,,,,
BhexU[6],Output,PIN_U24,5,B5_N0,PIN_U24,2.5 V,,,,,
BhexU[5],Output,PIN_U23,5,B5_N1,PIN_U23,2.5 V,,,,,
BhexU[4],Output,PIN_W25,5,B5_N1,PIN_W25,2.5 V,,,,,
BhexU[3],Output,PIN_W22,5,B5_N0,PIN_W22,2.5 V,,,,,
BhexU[2],Output,PIN_W21,5,B5_N1,PIN_W21,2.5 V,,,,,
BhexU[1],Output,PIN_Y22,5,B5_N0,PIN_Y22,2.5 V,,,,,
BhexU[0],Output,PIN_M24,6,B6_N2,PIN_M24,2.5 V,,,,,
ClearA_LoadB,Input,PIN_N21,6,B6_N2,PIN_N21,2.5 V,,,,,
Clk,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,
Clr_Ld,Output,,,,PIN_D28,,,,,,
M,Output,,,,PIN_G23,,,,,,
OA[7],Output,,,,PIN_L23,,,,,,
OA[6],Output,,,,PIN_B25,,,,,,
OA[5],Output,,,,PIN_L27,,,,,,
OA[4],Output,,,,PIN_M25,,,,,,
OA[3],Output,,,,PIN_A26,,,,,,
OA[2],Output,,,,PIN_M28,,,,,,
OA[1],Output,,,,PIN_B26,,,,,,
OA[0],Output,,,,PIN_M27,,,,,,
RS[7],Output,,,,PIN_H26,,,,,,
RS[6],Output,,,,PIN_J23,,,,,,
RS[5],Output,,,,PIN_K25,,,,,,
RS[4],Output,,,,PIN_J25,,,,,,
RS[3],Output,,,,PIN_J24,,,,,,
RS[2],Output,,,,PIN_K26,,,,,,
RS[1],Output,,,,PIN_E27,,,,,,
RS[0],Output,,,,PIN_F26,,,,,,
Reset,Input,PIN_M23,6,B6_N2,PIN_M23,2.5 V,,,,,
Run,Input,PIN_R24,5,B5_N0,PIN_R24,2.5 V,,,,,
SW[7],Input,,,,PIN_F27,,,,,,
SW[6],Input,,,,PIN_D27,,,,,,
SW[5],Input,,,,PIN_G27,,,,,,
SW[4],Input,,,,PIN_M21,,,,,,
SW[3],Input,,,,PIN_K21,,,,,,
SW[2],Input,,,,PIN_G28,,,,,,
SW[1],Input,,,,PIN_J26,,,,,,
SW[0],Input,,,,PIN_E28,,,,,,
Shift,Output,,,,PIN_C27,,,,,,
Sub,Output,,,,PIN_E26,,,,,,
Wait,Output,,,,PIN_E22,,,,,,
XA[8],Output,,,,PIN_D26,,,,,,
XA[7],Output,,,,PIN_H23,,,,,,
XA[6],Output,,,,PIN_F28,,,,,,
XA[5],Output,,,,PIN_L22,,,,,,
XA[4],Output,,,,PIN_D22,,,,,,
XA[3],Output,,,,PIN_H24,,,,,,
XA[2],Output,,,,PIN_G25,,,,,,
XA[1],Output,,,,PIN_L21,,,,,,
XA[0],Output,,,,PIN_H25,,,,,,
test,Output,,,,PIN_AF16,,,,,,
S[7],Unknown,PIN_AB26,5,B5_N1,,,,,,,
S[6],Unknown,PIN_AD26,5,B5_N2,,,,,,,
S[5],Unknown,PIN_AC26,5,B5_N2,,,,,,,
S[4],Unknown,PIN_AB27,5,B5_N1,,,,,,,
S[3],Unknown,PIN_AD27,5,B5_N2,,,,,,,
S[2],Unknown,PIN_AC27,5,B5_N2,,,,,,,
S[1],Unknown,PIN_AC28,5,B5_N2,,,,,,,
S[0],Unknown,PIN_AB28,5,B5_N1,,,,,,,
